"HOUSEID","WTHHFIN","WTHHFIN5D","WTHHFIN2D","NUMADLT","HOMEOWN","HOMETYPE","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CNTTDHH","CDIVMSAR","FLAG100","HHFAMINC","HHFAMINC_IMP","HH_RACE","HHSIZE","HHVEHCNT","HHRELATD","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","PPT517","YOUNGCHILD","RESP_CNT","URBRUR_2010","TDAYDATE","WRKCOUNT","STRATUMID","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"9000013772",14522.0452693315,19774.2123785025,0,2,"02","01","02","02","01","02",2,2,"23","01","03","03","01",2,2,"01","10","03","01","02","04","06","02",0,0,2,"02","202201",0,"1024","01","05","01","01","01","05","01","01"
"9000013774",26607.5966273081,36337.2501025733,0,1,"03","03","02","02","01","02",0,2,"22","01","01","01","01",1,0,"02","01","02","04","02","02","06","01",0,0,1,"01","202201",0,"1023","03","50","06","05","06","70","06","05"
"9000013812",10992.6819265103,16403.1809822818,0,4,"02","01","01","02","01","02",4,6,"21","01","10","10","01",4,4,"01","10","01","05","02","01","04","01",0,0,4,"01","202202",3,"1023","03","40","05","04","06","40","06","05"
"9000013821",13512.7710624455,19132.5192674052,0,3,"01","01","01","02","01","02",3,2,"21","01","07","07","01",3,6,"01","10","01","05","05","01","04","01",0,0,3,"01","202202",1,"1023","04","05","06","05","07","30","06","05"
"9000013826",17492.0405224457,28200.0239982624,0,2,"01","02","02","02","01","02",2,2,"23","01","11","11","02",2,2,"01","02","03","01","05","01","02","01",0,0,2,"01","202202",1,"1023","02","50","04","03","05","50","04","03"
"9000013828",31336.4905174538,42112.2723431327,0,3,"02","03","01","02","01","01",2,8,"21","01","06","06","01",3,2,"01","02","01","05","02","01","04","01",0,0,3,"01","202202",3,"1023","05","70","08","08","08","70","07","07"
"9000013837",8312.3428656129,11577.5996409584,0,1,"02","01","01","02","01","02",1,0,"21","01","03","03","01",1,1,"02","09","01","05","05","01","04","01",0,0,1,"01","202202",0,"1023","05","20","06","05","07","30","06","05"
"9000013847",9613.32043445287,13128.071875482,0,1,"01","01","02","02","01","02",1,6,"23","01","08","08","03",2,1,"01","05","03","03","06","01","01","01",1,0,2,"01","202202",1,"1023","02","05","03","02","04","05","05","01"
"9000013854",14954.9317225799,19526.8327890508,0,1,"03","03","02","02","01","02",1,2,"23","01","03","03","01",1,1,"02","09","03","01","03","01","02","01",0,0,1,"01","202202",0,"1023","02","05","04","04","04","20","04","05"
"9000013855",12993.6812640275,18448.9410794102,0,1,"03","03","01","02","01","02",1,0,"21","01","10","10","01",1,1,"02","01","01","05","06","01","04","01",0,0,1,"01","202202",1,"1023","04","40","06","05","07","40","06","05"
"9000013856",20413.4040142781,26824.4785119211,0,1,"03","03","01","02","01","02",0,2,"21","01","03","03","02",1,0,"02","01","01","05","03","01","04","01",0,0,1,"01","202203",1,"1023","05","30","06","05","07","40","06","05"
"9000013868",6887.1007900866,0,26942.1367139551,1,"03","03","01","02","01","02",0,2,"21","01","06","06","01",1,0,"02","01","01","05","01","01","04","01",0,0,1,"01","202202",1,"1023","02","30","04","03","05","30","04","03"
"9000013889",11258.5496016693,15975.4234751485,0,3,"01","01","01","02","01","02",2,8,"21","01","11","11","01",5,2,"01","06","01","05","04","01","04","01",2,0,5,"01","202202",2,"1023","04","05","04","03","05","05","04","02"
